5302153:0	12810.696316670652
84707:0	8159.113728956557
88822:0	7886.093686178083
1921890:0	7275.127835822824
5300058:0	5826.6350998303105
81615:0	5014.404767519444
1804986:0	4197.8888148046
5535280:0	4164.226675136736
896161:0	3769.910788409709
5535664:0	3714.257131705611
79583:0	3583.768079836089
1601519:0	3488.322596439014
687324:0	3455.8418969029312
1948883:0	3364.344625704657
5308545:0	3190.9223377001854
505135:0	3064.8028246183003
1603276:0	2941.357165895639
5596267:0	2914.369814878177
2497500:0	2825.4558209203437
2995510:0	2730.4161546091154
1650573:0	2659.3656421983655
2370447:0	2565.2363930365173
77935:0	2528.8948762668256
4141787:0	2407.8161590877467
3492254:0	2356.590965151709
2437900:0	2304.3565862363034
2401294:0	2295.634947879082
4189168:0	2293.53004061997
687618:0	2224.0830200410205
3072654:0	2102.6401724186285
434174:0	2102.335180035131
3988566:0	2096.6643889160096
4015997:0	2018.9134163444535
686242:0	2005.610190233291
4696900:0	1961.1958496038399
76573:0	1960.9973826413977
4351989:0	1959.3179839177542
478879:0	1904.2987452002512
3603437:0	1898.3236554574357
5115901:0	1879.5875947888412
2876077:0	1846.0542169601551
1386743:0	1841.1977569711842
5492723:0	1780.7479241121127
3997849:0	1712.6427307459146
74165:0	1685.0614792506008
4302220:0	1648.6810989803714
75323:0	1630.2723881913125
1033539:0	1619.633738922884
3587465:0	1575.4630614468292
4089591:0	1571.4228562480373
